BLOCK_NUMBER,BLOCK_TIMESTAMP,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,ORIGIN_FUNCTION_SIGNATURE,TX_HASH,EVENT_INDEX,BRIDGE_ADDRESS,EVENT_NAME,PLATFORM,SENDER,RECEIVER,DESTINATION_CHAIN,DESTINATION_CHAIN_ID,TOKEN_ADDRESS,TOKEN_SYMBOL,AMOUNT_UNADJ,AMOUNT,AMOUNT_USD
17273283,2023-05-16 15:55:47.000,0xfb0b85ff94497b3cd0eb478f63dae3598a87e7fb,0xabea9132b05a70803a4e85094fd0e1800777fbef,0xe17376b5,0x224b3792b256cbe0adeaf68c3f6f27970c0a59e91c1e5f929f0ab1178c0a4cbd,230,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0xfb0b85ff94497b3cd0eb478f63dae3598a87e7fb,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1216599936181490000,1.216599936,2209.86
17648202,2023-07-08 09:37:47.000,0xbf4c2df24e17f784b331517f72c2145aab4b603f,0xabea9132b05a70803a4e85094fd0e1800777fbef,0xe17376b5,0x1e1c147222bbc954401789de6acf8f6b4cc447804f587e4810c17499845aad7d,193,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0xbf4c2df24e17f784b331517f72c2145aab4b603f,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,30061126197842400,0.0300611262,56.04
15943225,2022-11-11 00:33:11.000,0xf27696c8bca7d54d696189085ae1283f59342fa6,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0x7fc6698368e47ec2814d3d391f8d6e2b4b68ebf58fd7f7a3340da560d307cdd0,190,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0x4b3e5b5b42174a05051bc424fa2fc6e217ddac9c,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1012114187782870000,1.012114188,1305.39
15973863,2022-11-15 07:11:47.000,0xf27696c8bca7d54d696189085ae1283f59342fa6,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0xf42ed83c7000ad68c456a71ad42c49fb2c8b7f7e64b05b09af68f867bab20b1f,201,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0xc866a359ef482e111ab71092f63e29a2c49c055b,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1233000000000000000,1.233,1543.38
17068020,2023-04-17 17:38:11.000,0xf27696c8bca7d54d696189085ae1283f59342fa6,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0xa7ca5adb04e70ec7662a1f5b4d10c9a7009a67b2af98ee7150c4c89920a52317,113,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0x0982bb975f4eeea52ce98e41f5dbab6b15edf59d,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,395416586890949000,0.3954165869,821.5
17486162,2023-06-15 15:26:23.000,0x1897fd5b6dbc8c5c1475f402a05c8d7ea76c69f6,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0xe3dec8fb,0xe20bde473ef56918099a23ad87b07f7e05478993d48ce2f2f8ac8343fc903c18,248,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,Transfer,polygon (matic): erc20 bridge,0x1897fd5b6dbc8c5c1475f402a05c8d7ea76c69f6,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,polygon mainnet,137,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,13000000000000000000,13,21332.61
15346447,2022-08-15 14:09:08.000,0x3cc82f15276b9e3262f347c285e16360134652f8,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0x0f5287b0,0xf1f07b44d967e49ff7ebf2c1ae65c195ed141c68b54c41e4a8da84c9a0e4dddc,97,0x3ee18b2214aff97000d974cf647e7c347e8fa585,Transfer,wormhole,0x3cc82f15276b9e3262f347c285e16360134652f8,0x3ee18b2214aff97000d974cf647e7c347e8fa585,solana,1,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,51014160000000000,0.05101416,94.45
13174873,2021-09-06 22:29:46.000,0x87e2150cb77007df45b02eeb73f5cbc71c27663d,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0xe3dec8fb,0x38829eff6c227464e544e6d13c575190a73019efca32325b2c87a722ea889c98,177,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,Transfer,polygon (matic): erc20 bridge,0x87e2150cb77007df45b02eeb73f5cbc71c27663d,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,polygon mainnet,137,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1500000000000000000,1.5,5868.92
15881642,2022-11-02 10:08:23.000,0x1ced2cef30d40bb3617f8d455071b69f3b12d06f,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0x95209d1c584aabac14cdfe7d722a0edbf7b9baaa49564743ba09e0ee2c3095f8,259,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0x973693cd07f9b3b60a899ad1cc8415a25150bc48,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1000000000000,0.000001,0
13888086,2021-12-27 15:23:29.000,0xfc4a44b9c828a59bebe1fefbc3267905ed31b815,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0x0f5287b0,0x688c0700ad7048865f413b936bb83f94a6022731a2d366b3c78e0e385664ffa2,345,0x3ee18b2214aff97000d974cf647e7c347e8fa585,Transfer,wormhole,0xfc4a44b9c828a59bebe1fefbc3267905ed31b815,0x3ee18b2214aff97000d974cf647e7c347e8fa585,terra,3,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,499999990000000000,0.49999999,2035.88
13892813,2021-12-28 09:06:21.000,0x43f4f86fe8ebfc6a74d61fd4d393492264189d20,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0xe3dec8fb,0xaa67f2d31ff54e3418a30dd208ea5ebbcbe668ee6b220b318adde35c90861d13,19,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,Transfer,polygon (matic): erc20 bridge,0x43f4f86fe8ebfc6a74d61fd4d393492264189d20,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,polygon mainnet,137,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,21857422443609000000,21.857422444,85659.46
17147264,2023-04-28 21:20:59.000,0xddb0bc7fa011294fb0beb07c30400472926c3d65,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0xa9059cbb,0x0da10177ee4744c545828de0059ef3ba6eacb2f1ee569766038694ade838f28f,121,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0xddb0bc7fa011294fb0beb07c30400472926c3d65,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,26426012393242900,0.02642601239,50.14
17147091,2023-04-28 20:46:11.000,0x7a1a50da30c030a8e642a0cec1661e92fa6b2701,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0x0f5287b0,0xb5369a31177df7f169e5be6e8457e74bb522b6d90901da59da62e7e445b7ac9e,313,0x3ee18b2214aff97000d974cf647e7c347e8fa585,Transfer,wormhole,0x7a1a50da30c030a8e642a0cec1661e92fa6b2701,0x3ee18b2214aff97000d974cf647e7c347e8fa585,solana,1,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,2000000000000000000,2,3777.78
12351405,2021-05-01 23:52:08.000,0x99c2e4708493b19baa116e26dfa0056f5a69a783,0x88ad09518695c6c3712ac10a214be5109a655671,0xad58bdd1,0x7b0f93f43051470e535c079b181e47ad9695e62af386fbf7b0623c478f81ab4a,368,0x88ad09518695c6c3712ac10a214be5109a655671,Transfer,gnosis chain: eth-xdai omni bridge,0x99c2e4708493b19baa116e26dfa0056f5a69a783,0x88ad09518695c6c3712ac10a214be5109a655671,gnosis,100,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,305112897808124000,0.3051128978,896.79
12370848,2021-05-04 23:56:47.000,0x48ca867cc1ed9d208b3b1eda3b7f5f5f80dd4004,0x88ad09518695c6c3712ac10a214be5109a655671,0xad58bdd1,0x30bc4302ef68241307e2e3b97a2c1ace03561405a8d854a856d6f2dd947b4619,215,0x88ad09518695c6c3712ac10a214be5109a655671,Transfer,gnosis chain: eth-xdai omni bridge,0x48ca867cc1ed9d208b3b1eda3b7f5f5f80dd4004,0x88ad09518695c6c3712ac10a214be5109a655671,gnosis,100,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1307075968958810000,1.307075969,4301.14
17824946,2023-08-02 04:32:11.000,0xcf30744d86448a09b7064f7e628c0eadbc84cbc3,0xabea9132b05a70803a4e85094fd0e1800777fbef,0xe17376b5,0xe3996566623e2be9505a15d44f1fd590ed79a1d5970b18bf5f758cf8e8f41e98,377,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0xcf30744d86448a09b7064f7e628c0eadbc84cbc3,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,1357000000000000000,1.357,2522.11
16947921,2023-03-31 14:58:47.000,0xf27696c8bca7d54d696189085ae1283f59342fa6,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0x2d515152a74430a884b241cdffb3c0dd90e1bac37a1abc187d80b38bbd895252,156,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0x4c170f096a712c68330a752e3476fcef26792bc4,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,117948517496443000,0.1179485175,215.85
18666522,2023-11-28 00:22:35.000,0xf27696c8bca7d54d696189085ae1283f59342fa6,0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,0xe0724b6e,0x314c1bedf1f8ebd18e52b911e1564aee29de05e45bf1912719b970ead2f12922,293,0xabea9132b05a70803a4e85094fd0e1800777fbef,Transfer,zksync lite: bridge,0xb3e1b19997dfbc2c09dec68285a8b17eec6bc42e,0xabea9132b05a70803a4e85094fd0e1800777fbef,zksync lite,"null",0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,933942413404568000,0.9339424134,1893.44
13471471,2021-10-23 03:30:56.000,0x07c841bff397068e13d0ef934482a9ab7eddd123,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0x0f5287b0,0xefc5f2973a07e3b30c8f95b9740be7e6f2f28b2edfd7bc6fb0086d167d7d2fb3,239,0x3ee18b2214aff97000d974cf647e7c347e8fa585,Transfer,wormhole,0x07c841bff397068e13d0ef934482a9ab7eddd123,0x3ee18b2214aff97000d974cf647e7c347e8fa585,solana,1,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,9056880000000000000,9.05688,36227.28
